389933,9.38,0.11,-3.85,-4.66,-2.44,-1.08
389955,9.37,0.07,-3.72,-5.21,-2.85,-1.11
389977,9.37,0.07,-3.81,-5.73,-2.81,-1.37
389999,9.36,0.13,-3.73,-5.50,-2.99,-1.31
390021,9.35,0.05,-3.81,-5.35,-3.45,-1.37
390043,9.35,0.11,-3.81,-4.73,-2.76,-1.11
390065,9.39,0.05,-3.70,-5.06,-2.43,-1.27
390087,9.33,0.08,-3.73,-5.26,-2.57,-1.02
390109,9.34,0.06,-3.70,-5.48,-3.08,-1.22
390131,9.36,0.11,-3.78,-5.07,-3.02,-1.31
390153,9.35,0.09,-3.77,-5.01,-2.73,-1.24
390175,9.36,0.12,-3.80,-4.89,-2.76,-1.18
390197,9.35,0.07,-3.82,-5.53,-2.53,-1.18
390219,9.37,0.08,-3.80,-5.50,-3.46,-1.19
390241,9.35,0.12,-3.75,-5.03,-3.40,-1.34
390263,9.39,0.12,-3.71,-4.95,-2.91,-1.25
390285,9.36,0.09,-3.72,-4.95,-2.63,-1.20
390307,9.37,0.08,-3.74,-5.11,-2.95,-0.90
390329,9.35,0.12,-3.77,-5.37,-3.30,-0.73
390351,9.37,0.11,-3.71,-5.38,-3.49,-1.25
390373,9.35,0.11,-3.75,-5.11,-2.97,-1.57
390395,9.37,0.11,-3.77,-4.68,-3.03,-1.11
390417,9.33,0.06,-3.72,-5.18,-2.73,-1.05
390439,9.36,0.04,-3.73,-5.51,-3.28,-1.26
390461,9.38,0.05,-3.73,-5.18,-3.40,-1.24
390483,9.36,0.11,-3.70,-5.08,-3.44,-1.56
390505,9.35,0.06,-3.72,-4.80,-3.09,-1.28
390527,9.38,0.08,-3.83,-4.86,-2.90,-1.50
390549,9.35,0.09,-3.71,-5.24,-2.98,-0.93
390571,9.38,0.06,-3.77,-5.46,-3.12,-1.00
390593,9.39,0.09,-3.69,-5.26,-3.18,-1.02
390615,9.37,0.10,-3.78,-5.21,-3.34,-1.06
390637,9.36,0.08,-3.75,-4.96,-3.26,-1.16
390659,9.37,0.07,-3.71,-4.93,-2.87,-1.41
390681,9.36,0.10,-3.72,-5.19,-2.95,-1.18
390703,9.39,0.01,-3.72,-5.70,-2.63,-1.30
390725,9.34,0.05,-3.65,-5.37,-2.89,-1.04
390747,9.36,0.11,-3.72,-5.44,-3.08,-1.23
390769,9.37,0.08,-3.67,-5.42,-3.13,-1.39
390791,9.35,0.08,-3.66,-5.27,-2.95,-1.20
390813,9.35,0.12,-3.70,-4.89,-2.83,-1.20
390835,9.40,0.06,-3.70,-5.05,-2.75,-1.21
390857,9.35,0.07,-3.79,-5.37,-2.68,-1.15
390879,9.42,0.08,-3.70,-5.66,-2.76,-1.11
390901,9.37,0.09,-3.80,-5.60,-2.75,-0.81
390923,9.38,0.11,-3.72,-5.31,-2.82,-1.01
390945,9.37,0.08,-3.75,-5.22,-2.71,-1.46
390967,9.37,0.09,-3.74,-5.11,-2.67,-1.14
390989,9.39,0.08,-3.75,-4.83,-2.48,-1.11
391011,9.34,0.07,-3.73,-4.77,-2.69,-1.05
391033,9.34,0.09,-3.76,-5.33,-3.00,-1.15
391055,9.35,0.09,-3.72,-4.78,-2.29,-1.44
391077,9.35,0.06,-3.75,-5.37,-2.62,-0.95
391099,9.35,0.10,-3.72,-5.34,-2.81,-1.02
391121,9.36,0.07,-3.74,-5.14,-3.10,-1.34
391143,9.36,0.10,-3.76,-4.81,-2.79,-1.11
391165,9.34,0.11,-3.73,-5.05,-2.77,-1.15
391187,9.35,0.13,-3.73,-5.02,-3.08,-1.05
391209,9.39,0.10,-3.78,-5.08,-2.89,-1.02
391231,9.36,0.07,-3.76,-5.31,-2.89,-1.10
391253,9.36,0.09,-3.76,-5.39,-3.31,-1.17
391275,9.37,0.06,-3.78,-5.47,-2.97,-1.11
391297,9.37,0.06,-3.72,-4.90,-3.02,-1.29
391319,9.39,0.10,-3.76,-5.03,-3.08,-0.92
391341,9.39,0.10,-3.71,-4.60,-3.18,-1.22
391363,9.30,0.09,-3.70,-4.99,-3.27,-1.44
391385,9.35,0.08,-3.70,-5.22,-3.74,-1.11
391407,9.35,0.08,-3.74,-4.85,-3.07,-1.22
391429,9.36,0.06,-3.80,-5.33,-2.92,-1.13
391451,9.38,0.07,-3.72,-5.14,-2.85,-1.21
391473,9.38,0.09,-3.73,-4.89,-2.75,-1.18
391495,9.31,0.10,-3.71,-5.69,-3.13,-1.24
391517,9.42,0.08,-3.74,-5.24,-3.17,-1.27
391539,9.37,0.06,-3.71,-5.19,-3.34,-1.30
391561,9.36,0.06,-3.74,-5.35,-3.57,-1.25
391583,9.33,0.09,-3.74,-5.40,-3.76,-1.09
391605,9.37,0.10,-3.70,-5.12,-3.56,-1.08
391627,9.34,0.09,-3.72,-5.15,-3.29,-1.00
391649,9.33,0.09,-3.71,-5.45,-3.52,-0.87
391671,9.38,0.09,-3.71,-5.13,-3.45,-1.10
