423065,3.03,3.55,10.36,29.68,16.84,-34.11
423087,2.93,4.92,11.09,33.34,-1.14,-30.91
423109,3.25,5.19,10.39,23.35,-6.54,-27.82
423131,2.23,5.48,9.85,4.22,-2.48,-27.56
423153,2.36,3.53,8.68,-17.31,1.63,-19.36
423175,1.13,3.75,8.34,-22.73,8.74,-13.63
423197,0.51,3.25,7.87,-15.04,-8.59,-16.17
423219,1.37,3.67,7.24,-10.01,-19.05,-6.47
423241,0.88,3.04,6.84,-0.81,-13.24,-6.08
423263,0.99,3.78,6.80,0.71,-24.60,-10.70
423285,2.03,3.85,6.75,-7.49,-12.11,5.08
423307,1.73,3.93,7.32,-14.60,-5.25,17.86
423329,1.87,2.59,7.11,-14.03,-7.01,25.78
423351,2.37,3.94,8.21,-14.30,-11.54,25.60
423373,4.07,4.40,7.88,-49.27,10.09,54.19
423395,2.28,1.52,8.61,-47.30,31.39,52.15
423417,2.64,3.97,11.14,-36.57,-0.98,34.02
423439,5.81,6.55,10.98,-78.23,10.73,48.36
423461,3.81,2.44,11.19,-94.69,57.75,56.42
423483,1.94,0.34,11.75,-87.64,26.66,30.72
423505,2.78,-1.02,10.63,-76.90,11.80,18.18
423527,2.24,-0.55,10.83,-57.63,15.54,2.48
423549,2.35,-1.09,10.15,-57.17,10.48,9.95
423571,1.06,-2.44,10.36,-36.22,19.07,9.92
423593,0.09,-2.67,11.00,-1.33,-11.00,-12.10
423615,1.11,-1.65,10.26,14.40,-39.05,-13.92
423637,2.31,-0.87,8.71,25.54,-35.51,-22.03
423659,2.45,-0.23,8.06,25.71,-27.37,-23.52
423681,3.04,0.69,8.33,34.43,-13.73,-40.29
423703,4.12,2.27,7.10,20.36,-10.02,-25.07
423725,4.16,2.85,5.83,17.59,27.15,-0.42
423747,1.36,1.25,7.39,0.59,62.58,11.31
423769,-0.37,-0.21,7.72,12.22,45.14,12.31
423791,0.46,3.93,8.59,19.13,27.60,3.04
423813,-0.16,1.72,8.16,11.48,29.46,42.97
423835,-1.22,1.24,9.32,20.26,4.28,33.15
423857,0.76,3.31,10.62,15.84,-18.24,51.66
423879,1.05,2.37,10.63,36.89,-30.00,56.84
423901,0.11,2.75,11.58,63.62,-74.47,37.51
423923,3.37,3.74,10.47,25.08,-92.05,4.45
423945,3.84,2.16,9.14,8.66,-44.79,2.39
423967,2.35,1.41,8.56,46.29,-73.58,12.14
423989,7.40,6.05,9.07,44.81,-104.75,-32.27
424011,5.92,2.92,8.34,17.28,-51.73,19.21
424033,5.53,2.16,8.88,19.08,-41.63,72.28
424055,4.84,1.81,10.32,34.21,-30.83,-0.95
424077,4.64,3.32,10.53,55.67,2.35,17.05
424099,2.97,2.92,10.04,-3.56,-18.24,3.68
424121,4.05,1.44,8.85,7.19,-30.69,-33.79
424143,4.59,2.48,7.95,-10.56,-5.07,-23.21
424165,3.58,0.68,7.30,-10.87,27.44,-24.37
424187,3.58,4.35,7.51,-45.21,12.92,-16.49
424209,4.89,3.37,6.01,-35.52,36.85,16.84
424231,2.46,0.36,6.81,-0.73,57.39,18.30
424253,2.47,1.51,6.74,30.97,36.69,39.97
424275,2.34,1.83,6.43,44.85,47.48,71.71
424297,1.49,1.56,8.43,62.56,15.15,55.17
424319,3.75,7.94,6.49,-33.24,-27.01,119.87
424341,5.92,1.75,9.20,-83.22,10.31,109.30
424363,6.11,3.32,10.52,-0.63,118.47,-4.34
424385,5.03,1.42,9.35,2.58,115.67,49.24
424407,5.31,0.11,8.67,141.47,172.30,-17.48
424429,4.05,5.18,9.58,138.55,228.53,-91.63
424451,1.99,3.31,8.08,138.72,240.32,-47.12
424473,-0.92,5.97,8.17,156.73,221.19,-58.93
424495,-1.24,10.18,9.24,97.98,224.93,-98.52
424517,-1.99,11.66,8.42,-114.65,250.13,-118.14
424539,-1.91,1.11,4.44,-149.31,250.13,-82.23
424561,-7.87,1.56,7.44,-41.01,247.82,-128.69
424583,-8.74,6.49,10.27,-34.56,147.77,-93.08
424605,-6.99,7.62,6.81,-221.21,77.46,-139.75
424627,-3.32,-3.77,1.57,-104.06,60.44,-32.66
424649,-5.17,0.68,4.91,29.71,138.78,45.26
424671,-10.05,3.81,6.29,42.68,118.31,-4.92
424693,-5.54,-0.29,2.80,-79.56,87.84,-79.12
424715,-5.09,-4.34,6.79,44.61,184.60,-48.27
424737,-8.52,-7.16,-1.01,250.13,143.62,44.18
424759,-15.19,9.31,9.52,250.13,148.30,197.82
424781,-9.77,7.56,3.17,110.67,-101.24,85.83
